split_type,model_type,seed,jsd_mean,jsd_std,ann_peak_cov_mean,ann_peak_cov_std,ann_w_peak_cov_mean,ann_w_peak_cov_std,mode_peak_cov_mean,mode_peak_cov_std,mode_w_peak_cov_mean,mode_w_peak_cov_std,both_t_formula_cov_0.0_mean,both_t_formula_cov_0.0_std,both_t_peak_cov_0.0_mean,both_t_peak_cov_0.0_std,both_t_w_peak_cov_0.0_mean,both_t_w_peak_cov_0.0_std,both_t_peak_cov_2_0.0_mean,both_t_peak_cov_2_0.0_std,both_t_w_peak_cov_2_0.0_mean,both_t_w_peak_cov_2_0.0_std,both_p_formula_cov_0.0_mean,both_p_formula_cov_0.0_std,both_p_peak_cov_0.0_mean,both_p_peak_cov_0.0_std,both_p_peak_cov_2_0.0_mean,both_p_peak_cov_2_0.0_std,both_p_w_peak_cov_0.0_mean,both_p_w_peak_cov_0.0_std,both_p_w_peak_cov_2_0.0_mean,both_p_w_peak_cov_2_0.0_std
scaffold,fraggnn_d4_long,0,0.720248867608426,0.11881667243263257,0.8709996970917451,0.13604137883816986,0.9841142256192646,0.027902464641311825,0.8078681267210219,0.1313946749007881,0.8993277910925014,0.12208624922511926,0.7508310098157044,0.16286900102664284,0.8087865198799635,0.13126278784708562,0.8996748313154048,0.12198698480461331,0.7049214602809725,0.16048795366536103,0.885376729290408,0.12257986294367677,0.09238189446497022,0.06502592873252003,0.983682279845754,0.04121127932683017,0.09203476305002077,0.06452955274072508,0.9990388539990465,0.01140855292153092,0.8605413373030758,0.11740213322978219
scaffold,fraggnn_d4_long,1,0.7237710663596693,0.11695106356185041,0.8709996970917451,0.13604137883816986,0.9841142259086075,0.027902461992113745,0.8079528008063225,0.1314479394982409,0.8993618481620712,0.12209518795256892,0.7508310098157044,0.16286900102664284,0.8087865198799635,0.13126278784708562,0.8996748316635206,0.12198698602303999,0.7049214602809725,0.16048795366536103,0.8853767296113978,0.12257986334696601,0.09238189446497022,0.06502592873252003,0.983682279845754,0.04121127932683017,0.09203476305002077,0.06452955274072508,0.9992156106689312,0.006043946218048498,0.8749850133153637,0.11396395537744664
scaffold,fraggnn_d4_long,2,0.7213468086426553,0.11914506482289508,0.8709996970917451,0.13604137883816986,0.9841142278978402,0.027902460066669733,0.807860970592072,0.13141696059635974,0.8993653005929393,0.12204387379029659,0.7508310098157044,0.16286900102664284,0.8087865198799635,0.13126278784708562,0.8996748315731009,0.12198698607113406,0.7049214602809725,0.16048795366536103,0.885376730922483,0.12257986326379057,0.09238189446497022,0.06502592873252003,0.983682279845754,0.04121127932683017,0.09203476305002077,0.06452955274072508,0.999146372947878,0.0063842910949906675,0.8686745647494727,0.11666957716826404
scaffold,fraggnn_d4_long,3,0.7221259547044857,0.11802237198546787,0.8709996970917451,0.13604137883816986,0.9841142257096843,0.027902459924141268,0.8077721898534417,0.13144775784869447,0.8992326279098476,0.12224874387452143,0.7508310098157044,0.16286900102664284,0.8087865198799635,0.13126278784708562,0.8996748310622298,0.12198698582164441,0.7049214602809725,0.16048795366536103,0.8853767302578984,0.1225798611936879,0.09238189446497022,0.06502592873252003,0.983682279845754,0.04121127932683017,0.09203476305002077,0.06452955274072508,0.9987230919735525,0.010992572169284004,0.8690889940881938,0.1147588512067849
scaffold,fraggnn_d4_long,4,0.7230002740804938,0.1179455931815172,0.8709996970917451,0.13604137883816986,0.9841142264149577,0.02790246006159714,0.8079170732379176,0.13135474468406597,0.8993624216442909,0.12205538385943882,0.7508310098157044,0.16286900102664284,0.8087865198799635,0.13126278784708562,0.8996748311978593,0.12198698594071843,0.7049214602809725,0.16048795366536103,0.8853767305427204,0.12257986176831216,0.09238189446497022,0.06502592873252003,0.983682279845754,0.04121127932683017,0.09203476305002077,0.06452955274072508,0.9993487727982038,0.006085804666943216,0.8708308065644673,0.11550096482834118
scaffold,iceberg_inten3_100_long,0,,,0.8709996970917451,0.13604137883816986,0.984114214642317,0.02790246334125342,,,,,0.6086930515479482,0.22299003786110516,0.6559312569217087,0.20172343619113056,0.8093563270382413,0.1906822288812907,0.5641119062809559,0.18468189498713727,0.7962205224081047,0.18839997783663662,0.14568937331637816,0.08276295632986062,0.9925567094525956,0.025492981171236023,0.14548429549226394,0.08260205486739683,,,,
scaffold,iceberg_inten3_100_long,1,,,0.8709996970917451,0.13604137883816986,0.9841142135030292,0.027902464057575432,,,,,0.6086930515479482,0.22299003786110516,0.6559312569217087,0.20172343619113056,0.8093563276838943,0.19068222983094021,0.5641119062809559,0.18468189498713727,0.7962205226782334,0.18839997874079115,0.14568937331637816,0.08276295632986062,0.9925567094525956,0.025492981171236023,0.14548429549226394,0.08260205486739683,,,,
scaffold,iceberg_inten3_100_long,2,,,0.8709996970917451,0.13604137883816986,0.9841142121467341,0.02790246416846405,,,,,0.6086930515479482,0.22299003786110516,0.6559312569217087,0.20172343619113056,0.8093563272045288,0.19068222904055424,0.5641119062809559,0.18468189498713727,0.796220522069596,0.18839998061615754,0.14568937331637816,0.08276295632986062,0.9925567094525956,0.025492981171236023,0.14548429549226394,0.08260205486739683,,,,
scaffold,iceberg_inten3_100_long,3,,,0.8709996970917451,0.13604137883816986,0.9841142138466239,0.02790246416637361,,,,,0.6086930515479482,0.22299003786110516,0.6559312569217087,0.20172343619113056,0.8093563274770593,0.19068222938616874,0.5641119062809559,0.18468189498713727,0.7962205219944347,0.18839997996028532,0.14568937331637816,0.08276295632986062,0.9925567094525956,0.025492981171236023,0.14548429549226394,0.08260205486739683,,,,
scaffold,iceberg_inten3_100_long,4,,,0.8709996970917451,0.13604137883816986,0.9841142127073361,0.027902463636138762,,,,,0.6086930515479482,0.22299003786110516,0.6559312569217087,0.20172343619113056,0.8093563270406431,0.1906822297031674,0.5641119062809559,0.18468189498713727,0.7962205216379834,0.18839997868012062,0.14568937331637816,0.08276295632986062,0.9925567094525956,0.025492981171236023,0.14548429549226394,0.08260205486739683,,,,
