recall,wrecall,precision,wprecision,pred_node_count,pred_nb_node_count,pred_formula_count,pred_edge_count
0.923077,0.9950734,0.06904762,0.031308327,830,97,420,18800
0.18965517,0.986575,0.019417476,0.015289279,106,57,309,1620
0.9714286,0.99976367,0.06501548,0.053108223,206,72,323,3628
0.8767123,0.9949823,0.10404624,0.074657306,209,70,346,3876
0.92424244,0.99124026,0.11023622,0.121993706,446,147,635,8588
0.78625953,0.9778083,0.1027523,0.06653656,690,107,545,13196
0.66820276,0.9530914,0.0862069,0.05033088,1377,250,870,27556
0.31764707,0.9709628,0.031746034,0.03187178,236,68,315,4308
0.9347826,0.984184,0.077586204,0.10392555,207,60,232,3408
0.9398497,0.9970989,0.120567374,0.11728312,398,121,564,7292
0.9347826,0.9990765,0.097297296,0.13021958,119,37,185,1920
0.7741935,0.9947463,0.1779661,0.18528697,82,25,118,1200
0.7,0.9745127,0.017283952,0.005426373,261,96,405,5388
0.93421054,0.9957818,0.09192826,0.07538659,352,131,446,6216
0.9885057,0.9996511,0.12078652,0.10023633,610,207,712,11320
0.70149255,0.9548358,0.057831325,0.060867097,330,87,415,6080
0.8705036,0.9873049,0.1225383,0.09007171,373,128,457,7476
0.90909094,0.9975705,0.019313306,0.007786561,307,122,466,5696
0.92857146,0.9907323,0.054545455,0.05172654,233,87,385,4456
0.3703704,0.8973241,0.043478258,0.03676246,64,23,115,720
1.0,1.0,0.025139663,0.0073297406,233,84,358,4456
0.9302325,0.9971348,0.07364341,0.107003644,424,86,258,7472
0.5555556,0.9535432,0.03883495,0.026941376,44,21,103,424
0.85999995,0.9810648,0.051334705,0.054621,369,102,487,7268
0.9545455,0.9981079,0.021611003,0.00836696,389,152,509,7400
0.90625,0.9964086,0.034050178,0.043169647,409,118,558,8576
0.8301887,0.95851403,0.048582997,0.062943205,541,144,494,10712
0.5263158,0.9659907,0.03726708,0.04230356,126,55,161,2440
0.77492875,0.95327747,0.058450386,0.064911224,1906,1327,2207,34152
0.63414633,0.93510383,0.055288464,0.031758796,333,179,416,5964
0.43913043,0.9494866,0.049142856,0.035585858,828,477,875,14244
0.5114943,0.97376966,0.102380954,0.12981,272,177,420,4744
0.32475883,0.62245005,0.065989845,0.082840174,21410,420,591,379680
0.32432434,0.94290465,0.06918239,0.07095578,305,130,477,5032
0.7171315,0.8936285,0.022314051,0.0141454525,11398,5595,3630,256676
0.12133891,0.90310454,0.034055725,0.028010853,375,144,646,6360
0.45000002,0.95585907,0.06870229,0.061083835,101,35,131,1488
0.631579,0.9125667,0.025258323,0.012345195,4670,3009,1742,106320
0.74285716,0.9204694,0.022246536,0.014190604,4670,3072,2742,106320
0.8705036,0.9951379,0.016293505,0.010633531,17073,10933,9022,309304
0.72083336,0.96195674,0.107999995,0.12339268,1585,198,750,49556
0.8277027,0.96784854,0.056779247,0.020924503,1543,824,2043,27560
0.6363636,0.97396106,0.1532567,0.16184556,101,58,261,1716
0.66117215,0.8096751,0.27104378,0.27631634,1171,784,594,14420
0.80745345,0.96126467,0.06723429,0.058072053,3757,2261,3406,64724
0.5453342,0.6449722,0.10380803,0.06612462,1455,592,1917,23600
0.42372882,0.75561225,0.026620371,0.01692553,665,313,864,10312
0.6894737,0.85465235,0.045189507,0.027980072,1567,1119,1372,20796
0.5714286,0.8511122,0.024915062,0.025251098,919,432,883,18416
0.70446736,0.8965201,0.19459054,0.14329597,914,623,1331,11476
0.79710144,0.76261306,0.09227872,0.06784864,1865,1259,1593,42264
0.67137474,0.92117333,0.06363636,0.040623255,3167,2774,2970,81308
0.6009501,0.8501625,0.041061398,0.020164799,11931,11148,5163,269340
0.3904762,0.6415107,0.04704753,0.018987143,2120,1944,2083,19468
0.61871344,0.88136554,0.15711646,0.13511238,3725,1655,1082,51404
0.69821674,0.8628073,0.12597115,0.103630304,2153,1405,1802,26020
0.56669915,0.8015809,0.043463144,0.0537142,3039,2560,5752,110192
0.42618385,0.66336024,0.04858934,0.030664645,3400,464,638,58380
0.31506848,0.8078854,0.057142857,0.039921593,745,184,315,11820
0.34134617,0.66622466,0.049079753,0.029625934,1660,293,489,27424
0.37100214,0.61644584,0.058394156,0.06375765,12203,809,685,216524
0.3654321,0.9291373,0.04345273,0.023001142,987,853,1703,12224
0.72932917,0.8938411,0.047612008,0.05875669,5865,5152,6763,165072
